position.lat,position.lon,fishing.totalDistanceKm,fishing.averageSpeedKnots,fishing.averageDurationHours,distances.startDistanceFromShoreKm,distances.endDistanceFromShoreKm,distances.startDistanceFromPortKm,distances.endDistanceFromPortKm,regions.eez12Nm,regions.highSeas,regions.eez,vessel.type_fishing,target_risk
34.9204,124.0527,29.235055766191277,3.1794117647058813,,106,106,107.586797,107.197797,[],[],['8327'],1,0
34.6246,128.313,11.222195997166333,3.687499977182596,,2,1,3.532963,4.707705,[],[],['8327'],1,0
39.7034,119.6037,3.131613330294943,1.446,,14,15,2.80582,2.040528,['8486'],[],['8486'],1,0
38.681,120.6583,2.1101211652527105,2.0384615384615383,,37,36,38.794078,36.777965,[],[],['8486'],1,0
20.7986,112.7766,14.825566818120327,3.163636363636364,,92,81,95.472,83.454148,[],[],['8486'],1,0
-18.4784,171.5345,9.051286369526874,1.6274336436680987,,176,182,239.420719,245.270594,[],[],['8313'],1,0
34.4362,122.858,48.25111880495498,3.608791208791208,,216,193,193.306312,198.812688,[],[],"['8486', '8327']",1,0
-45.5025,-60.5881,0.4777918391299014,0.3206896599510622,,386,386,406.947688,406.947688,[],['63203'],[],1,1
38.977,118.9763,7.537511204161177,0.8893939393939396,,20,16,5.644387,4.320734000000001,['8486'],[],['8486'],1,0
34.9863,123.6517,3.368564716944168,4.5285714285714285,,144,143,145.110391,143.83120300000002,[],[],['8327'],1,0
2.5589,104.0356,11.426256711425882,2.08,,10,15,21.233557,18.389934,[],[],['8483'],1,0
32.576,121.1628,1.116695272001102,2.05,,7,8,4.358029999999999,3.909165,[],[],['8486'],1,0
20.8586,113.0112,8.973239707336202,3.4352941176470586,,83,84,84.47775,84.372773,[],[],['8486'],1,0
30.7245,122.659,6.359828038154361,1.108602150537635,,8,8,0.955914,2.21142,[],[],['8486'],1,0
26.3114,50.2788,17.50877782640388,2.7160377358490564,,7,5,8.923658999999999,10.197194,[],[],['8356'],1,0
19.8238,108.7702,16.209147302993387,1.7285714285714284,,34,33,20.155365000000003,11.365901,[],[],['8486'],1,0
-45.7451,-60.6689,6.898618425360494,0.5878787903171598,,388,388,405.844938,406.678406,[],['63203'],[],1,1
50.6376,-0.4312,6.34447022927895,1.9333333312361336,,21,18,14.290211,13.442438,['5696'],[],['5696'],1,0
29.5145,126.14,13.475617434801933,3.1166666666666667,,269,277,318.93865600000004,315.525375,[],[],['8487'],1,0
37.9373,120.8289,1.3002384043057893,1.7555555555555555,,6,7,6.138611,5.261667,['8486'],[],['8486'],1,0
51.2982,156.3178,2.3623826577002527,1.0694444477558136,,15,14,23.552145,21.578537,['5690'],[],['5690'],1,0
21.3043,114.0138,8.903758141845156,3.2285714285714286,,62,60,72.223781,70.326812,[],[],['8486'],1,0
-25.2025,13.7379,30.722039455819136,3.010245864264298,,108,101,200.232703,217.000031,[],[],['8395'],1,0
-11.6597,-30.127,7.329134811959599,3.0142857142857142,,625,632,631.4595,637.75875,[],['63203'],[],1,1
21.6402,112.1091,3.3808856770586178,2.363636363636364,,2,2,1.033578,0.0,[],[],['8486'],1,0
-45.6491,-60.6602,7.984837290343632,0.6777777777777777,,386,385,404.478344,404.52118800000005,[],['63203'],[],1,1
18.9457,107.3373,6.542735421806063,1.1133333333333333,,128,131,131.71329699999998,126.348867,[],[],['8486'],1,0
33.5006,123.6764,25.863232844782186,4.971794871794871,,149,138,151.989141,140.49225,[],[],['8327'],1,0
34.9126,123.3925,0.6326092005127851,2.1090909090909093,,165,165,166.339062,166.50378099999998,[],[],['8327'],1,0
72.3792,23.3008,20.09617155477564,2.145454546073815,,142,162,118.724266,135.16453099999998,[],[],['5686'],1,0
-45.9397,-60.7122,5.518027588914951,0.399082575068561,,392,393,407.82225,408.871281,[],['63203'],[],1,1
20.1637,110.2906,9.704791565573183,4.43235294117647,,8,7,5.5597460000000005,7.370221,[],[],['8486'],1,0
22.0084,115.0894,24.41662228183232,2.816,,59,68,50.243660000000006,62.126988,[],[],['8486'],1,0
17.7053,108.3773,31.878059835078204,4.926923076923078,,103,87,104.873961,85.123859,[],[],['8486'],1,0
9.8486,107.0763,19.038645842829165,3.964285714285715,,35,46,42.268258,42.761727,[],[],['8484'],1,0
17.6975,108.4037,8.33267884418895,1.0083333333333333,,96,92,96.048508,90.376656,[],[],['8486'],1,0
11.0092,108.6063,10.577574512188471,5.0,,13,16,115.90382,113.627102,[],[],['8484'],1,0
9.5688,106.6259,110.83091529945386,2.571802773497688,,8,14,90.030023,76.85843799999999,[],[],['8484'],1,0
-45.9302,-60.6824,5.46910406034197,0.3620689720828869,,394,395,409.754031,410.825469,[],['63203'],[],1,1
-45.5624,-60.6288,6.225489502974713,0.4074766408756515,,384,386,403.740688,406.852688,[],['63203'],[],1,1
4.5464,98.7027,104.42187238694405,2.382509505703424,,33,60,55.944211,84.424859,['8492'],[],['8492'],1,0
-45.3947,-60.6046,7.096390703994566,0.6104166683896136,,382,378,404.967781,403.533312,[],['63203'],[],1,1
33.7685,123.4963,3.044318651881881,4.911111127005682,,151,149,154.747,152.471766,[],[],['8327'],1,0
22.2096,-22.6388,223.56188497728888,4.824578317209899,,557,613,564.534625,627.44375,[],['63203'],[],1,0
54.7997,-165.0969,5.047564884699972,3.392105265667564,,22,25,57.912492,58.554445,[],[],['8463'],1,0
35.0891,130.3215,13.044927898835583,1.7395348837209303,,81,76,81.62517999999999,89.103117,[],[],['8487'],1,0
1.2617,87.234,3.188695645573665,1.0166666666666666,,843,845,867.72,869.633812,[],['63203'],[],1,1
-45.4504,-60.6013,5.424760411695191,0.5035874489110147,,384,383,405.700969,405.742125,[],['63203'],[],1,1
33.5589,123.4854,16.26429714829704,2.892307692307692,,160,146,163.14875,149.368828,[],[],['8327'],1,0
-17.97,-124.073,30.984714039039485,1.8490347490347483,,729,752,987.627875,1012.371438,[],['63203'],[],1,1
-45.8859,-60.7117,7.7475512485695965,0.4754190001657557,,393,388,409.330125,404.180188,[],['63203'],[],1,1
-15.4907,-29.7289,13.688540492879907,3.9125,,547,559,917.724125,913.895875,[],['63203'],[],1,0
3.5121,-150.9179,105.36355536605916,3.508395058082209,,683,769,709.488625,795.6896879999999,[],['63203'],[],1,0
-45.9131,-60.7232,6.662732049738643,0.4773255870785823,,391,391,406.476281,407.265188,[],['63203'],[],1,1
38.6099,123.3281,2.837798647833193,2.3823529411764706,,49,48,48.041035,46.587848,[],[],['8486'],1,0
