MMSI,segment_id,start_time,end_time,start_lat,start_lon,end_lat,end_lon,route_distance_km,direct_distance_km,duration_hours,average_speed_knots,maximum_speed_knots,num_records,moving_records,route_efficiency
241749307,132,2024-08-08 01:32:28,2024-08-08 02:34:04,37.54632166666666,25.404613333333337,37.52350333333333,24.974443333333333,66.41826545041309,37.93049085405697,1.0266666666666666,20.243781094527364,21.0,201,201,0.5710852368220204
241749307,134,2024-08-13 04:46:33,2024-08-13 08:03:34,37.74727,26.345006666666663,37.52163333333333,24.973403333333337,165.28188246245014,120.77968692451714,3.283611111111111,20.430000000000003,21.0,910,910,0.7307497054431038
241749307,135,2024-08-13 21:44:51,2024-08-13 22:57:39,37.52433833333333,24.958831666666665,37.566098333333336,25.490956666666666,48.210025803498056,46.913960457573324,1.2133333333333334,21.233636363636364,21.700000000000003,550,550,0.973116269399908
241749307,137,2024-08-15 01:53:16,2024-08-15 03:12:36,37.57216833333333,25.515961666666666,37.52500166666667,24.971905,89.43649556543167,47.96374218867078,1.3222222222222222,20.108116883116885,21.1,308,308,0.536288255543069
241749307,138,2024-08-15 18:59:37,2024-08-15 19:46:06,37.54367166666667,24.961345,37.53210166666667,25.286393333333333,29.598929201177107,28.660184090694667,0.7747222222222222,20.635249042145595,21.3,261,261,0.9682844908306648
241749307,139,2024-08-15 21:00:01,2024-08-15 22:42:55,37.64566666666666,25.80245333333333,37.784375,26.521216666666668,108.69995428276462,63.22435731421537,1.715,20.48022727272727,20.8,440,440,0.581641066285528
246228378,155,2024-07-01 19:56:02,2024-07-01 22:40:43,37.51227166666666,24.95405833333333,37.33670666666666,25.506941666666663,55.33274817027583,48.82394422513429,2.7447222222222223,13.62087912087912,14.8,367,364,0.8823697690721605
246228378,156,2024-07-03 05:39:10,2024-07-03 07:59:06,37.36092833333333,25.425435,37.511253333333336,24.971253333333333,55.18545082957238,40.10171894547899,2.332222222222222,13.724810606060606,14.3,528,528,0.7266719460048259
246228378,157,2024-07-08 19:40:29,2024-07-08 22:40:14,37.51457833333333,24.96334333333333,37.38357,25.57968333333333,61.51149179864607,54.40908506162828,2.995833333333333,13.641842105263157,15.1,781,760,0.8845352871579336
246228378,158,2024-07-10 04:56:26,2024-07-10 07:49:51,37.30457,25.54440333333333,37.50731833333333,24.969106666666665,60.09560066146909,50.816046820894826,2.890277777777778,13.494936708860758,15.1,959,948,0.8455868027204203
246228378,159,2024-07-15 19:33:11,2024-07-16 00:53:53,37.51129333333333,24.95722333333333,37.15112666666667,26.241081666666663,121.04782136000703,113.5138789956482,5.345,14.08273431994362,14.7,1437,1419,0.9377606116350312
246228378,160,2024-07-17 04:09:27,2024-07-17 07:39:45,37.277321666666666,25.704916666666666,37.50989166666667,24.960861666666663,119.49086437387555,65.7327774570447,3.505,12.935726795096322,14.9,1229,1142,0.5501071383279402
246228378,161,2024-07-22 19:20:02,2024-07-23 02:58:48,37.51164,24.95414,36.899655,26.930836666666668,181.46394966434443,175.0600130153177,7.646111111111111,14.14175,15.3,2044,2000,0.9647095929474028
246228378,163,2024-07-29 19:05:11,2024-07-30 00:50:32,37.51065333333333,24.963045,37.1149,26.34624,128.9409927516405,122.32659483037834,5.755833333333333,13.81056451612903,15.2,1258,1240,0.9487021328120028
246228378,164,2024-07-31 04:34:28,2024-07-31 07:00:41,37.34501,25.55834,37.508845,24.967066666666668,121.961284159587,52.212081056518215,2.4369444444444444,13.343723849372385,14.2,478,478,0.4281037332158492
246228378,165,2024-08-05 20:02:07,2024-08-05 23:12:01,37.50818666666667,24.96288833333333,37.303055,25.606275,63.65930080847966,56.83035795114106,3.165,13.636226415094342,14.8,278,265,0.8927267065360391
246228378,169,2024-08-12 19:40:32,2024-08-13 01:10:57,37.511715,24.95759333333333,37.10371833333333,26.281641666666665,124.84532028940755,117.10406747645938,5.506944444444445,13.60458089668616,15.0,1057,1026,0.9379932480047874
246228378,171,2024-08-19 19:17:15,2024-08-19 23:10:17,37.513735,24.958276666666663,37.211675,25.89754,90.00975120385517,83.01225430808594,3.883888888888889,14.4801261829653,15.3,954,951,0.922258457531771
246228378,172,2024-08-20 00:12:35,2024-08-20 02:44:53,37.12871333333333,26.21019,36.90240166666667,26.92815333333333,91.44904947345388,63.74629051327131,2.5383333333333336,14.623124999999998,15.5,160,160,0.6970689239561291
246228378,174,2024-08-26 18:48:19,2024-08-26 20:34:40,37.51191166666667,24.958946666666662,37.36473166666666,25.412538333333337,40.6435259725085,40.04839260429759,1.7725,14.302389078498292,14.9,293,293,0.9853572406928114
246228378,175,2024-08-28 02:36:32,2024-08-28 05:05:18,37.29542833333333,25.6164,37.50514166666667,24.95822833333333,76.15985407454448,58.14044344855216,2.4794444444444443,13.975983717774762,14.5,737,737,0.7634001424378373
246228378,176,2024-09-02 19:09:25,2024-09-02 22:29:12,37.51589,24.953741666666662,37.28613833333333,25.66358333333333,69.59691321664968,62.70416434554039,3.3297222222222222,12.821995464852606,14.4,466,441,0.9009618594771192
246228378,180,2024-09-09 18:54:34,2024-09-09 20:54:18,37.522553333333335,24.945341666666668,37.35203,25.454671666666663,46.79932135858192,44.970287809259226,1.9955555555555555,13.763492063492064,14.4,315,315,0.9609175198223832
246228378,181,2024-09-11 03:24:18,2024-09-11 05:20:14,37.35717,25.436803333333337,37.51261333333333,24.957153333333338,43.93318685502128,42.351054882701824,1.9322222222222225,13.717761194029851,14.1,670,670,0.9639877713050852
