MMSI,route_start_time,route_end_time_ppo,initial_distance_km,historical_route_distance_km_ppo,historical_duration_hours_ppo,ppo_distance_km,ppo_steps,ppo_reward,final_distance_km,destination_reached,total_turning_degrees,distance_difference_km,distance_change_percent,absolute_distance_savings_km,route_end_time_baseline,historical_route_distance_km_baseline,historical_duration_hours_baseline,baseline_distance_km,baseline_steps,baseline_final_distance_km,baseline_destination_reached,baseline_turning_degrees,baseline_difference_km,baseline_change_percent,ppo_vs_baseline_difference_km,ppo_vs_historical_difference_km,baseline_vs_historical_difference_km
340402302,2024-09-30 23:23:09,2024-09-30 23:59:51,11.839274218835898,15.154433793715553,0.6116666666666667,20.0,20,146.04899090821516,1.7390775218776444,True,155.0,4.845566206284447,31.97457768626019,-4.845566206284447,2024-09-30 23:59:51,15.154433793715553,0.6116666666666667,17.0,17,1.4250654234065918,True,0.0,1.8455662062844471,12.178391033321164,3.0,4.845566206284447,1.8455662062844471
345727782,2024-07-01 15:48:03,2024-07-02 01:09:24,28.71228336414427,59.98934552885858,9.355833333333331,48.0,48,226.02605231981536,1.5724128364854646,True,470.0,-11.989345528858578,-19.98579151541329,11.989345528858578,2024-07-02 01:09:24,59.98934552885858,9.355833333333331,61.0,61,1.7818391302226186,True,0.0,1.0106544711414216,1.684723282495613,-13.0,-11.989345528858578,1.0106544711414216
345727782,2024-07-15 16:08:25,2024-07-15 18:13:05,31.452431087765053,60.717431300639234,2.077777777777778,31.0,31,246.79855686453925,1.291441788928784,True,205.0,-29.717431300639237,-48.94382167370504,29.717431300639237,2024-07-15 18:13:05,60.717431300639234,2.077777777777778,31.0,31,1.1471969329542513,True,0.0,-29.717431300639237,-48.94382167370504,0.0,-29.717431300639234,-29.717431300639234
345727782,2024-08-05 17:10:10,2024-08-05 18:33:47,30.585902575345017,49.83998702981908,1.3936111111111111,30.0,30,242.12580318024288,1.3778870944371309,True,200.0,-19.83998702981908,-39.807367963296,19.83998702981908,2024-08-05 18:33:47,49.83998702981908,1.3936111111111111,30.0,30,1.2294046962836924,True,0.0,-19.83998702981908,-39.807367963296,0.0,-19.839987029819078,-19.839987029819078
345727782,2024-08-19 15:38:37,2024-08-19 16:57:44,31.39708757070782,60.493337814335945,1.3186111111111112,30.0,30,243.15584018890365,1.9655088482612448,True,200.0,-30.493337814335945,-50.40776210419244,30.493337814335945,2024-08-19 16:57:44,60.493337814335945,1.3186111111111112,30.0,30,1.947505699523216,True,0.0,-30.493337814335945,-50.40776210419244,0.0,-30.493337814335945,-30.493337814335945
345727782,2024-09-02 15:12:14,2024-09-03 16:09:42,32.5386889655005,65.04483662703531,24.95777777777778,35.0,35,249.9144572234212,1.581975937517384,True,225.0,-30.04483662703531,-46.19096331859713,30.04483662703531,2024-09-03 16:09:42,65.04483662703531,24.95777777777778,35.0,35,1.9372087940865896,True,0.0,-30.04483662703531,-46.19096331859713,0.0,-30.04483662703531,-30.04483662703531
345727782,2024-09-05 17:20:48,2024-09-05 22:25:49,150.09677631622873,259.137013303312,5.083611111111111,159.0,159,803.6736435442806,1.9514640919826096,True,1085.0,-100.13701330331202,-38.64249727463853,100.13701330331202,2024-09-05 22:25:49,259.137013303312,5.083611111111111,149.0,149,1.20021479018373,True,0.0,-110.13701330331202,-42.501459710195846,10.0,-100.13701330331202,-110.13701330331202
345727782,2024-09-07 17:22:14,2024-09-07 19:09:44,18.294940167311594,32.22500296512042,1.7916666666666667,20.0,20,180.693027596974,1.2676427028206014,True,125.0,-12.225002965120416,-37.93639050507605,12.225002965120416,2024-09-07 19:09:44,32.22500296512042,1.7916666666666667,29.0,29,1.6761959309065182,True,0.0,-3.2250029651204173,-10.007766232360272,-9.0,-12.225002965120417,-3.2250029651204173
345727782,2024-09-08 20:59:24,2024-09-08 23:08:24,60.02782197038851,113.25740234352124,2.15,61.0,61,377.0330071874405,1.8465722325534677,True,430.0,-52.25740234352124,-46.1403857604108,52.25740234352124,2024-09-08 23:08:24,113.25740234352124,2.15,59.0,59,1.0814496924943842,True,0.0,-54.25740234352124,-47.906274751872736,2.0,-52.257402343521235,-54.257402343521235
345727782,2024-09-09 15:22:13,2024-09-10 01:24:44,28.26669048053661,64.14878935868401,10.041944444444445,47.0,47,222.3768405305016,1.894187471969076,True,460.0,-17.148789358684013,-26.73283397882634,17.148789358684013,2024-09-10 01:24:44,64.14878935868401,10.041944444444445,62.0,62,1.872491326894628,True,0.0,-2.148789358684013,-3.3496958869624014,-15.0,-17.148789358684013,-2.148789358684013
345727782,2024-09-12 20:50:14,2024-09-12 23:11:06,60.89934229715264,84.20172620990408,2.347777777777778,62.0,62,381.67151485451967,1.7631649226576036,True,435.0,-22.20172620990408,-26.36730529081795,22.20172620990408,2024-09-12 23:11:06,84.20172620990408,2.347777777777778,59.0,59,1.9696286471105349,True,0.0,-25.20172620990408,-29.93017761545579,3.0,-22.20172620990408,-25.20172620990408
